ID Objectif,Année,Mois,ID Agence,ID Produit,Objectif Primes,Objectif Nouveaux Contrats,Objectif Taux Renouvellement,Objectif Ratio Sinistres Primes
OBJ-00059,2023,1,AGC-008,PRD-003,584454000,14,0.72,0.43
OBJ-00060,2023,1,AGC-008,PRD-004,385593000,14,0.78,0.61
OBJ-00061,2023,1,AGC-008,PRD-005,140131000,12,0.74,0.5
OBJ-00062,2023,1,AGC-008,PRD-006,362238000,14,0.77,0.53
OBJ-00063,2023,1,AGC-008,PRD-007,637339000,10,0.63,0.54
OBJ-00064,2023,1,AGC-008,PRD-008,1020611000,5,0.76,0.45
OBJ-00065,2023,1,AGC-009,PRD-001,411481000,6,0.65,0.56
OBJ-00066,2023,1,AGC-009,PRD-002,556217000,5,0.72,0.52
OBJ-00067,2023,1,AGC-009,PRD-003,560020000,14,0.64,0.59
OBJ-00068,2023,1,AGC-009,PRD-004,371591000,13,0.65,0.55
OBJ-00069,2023,1,AGC-009,PRD-005,182025000,8,0.75,0.58
OBJ-00070,2023,1,AGC-009,PRD-006,379872000,15,0.66,0.59
OBJ-00071,2023,1,AGC-009,PRD-007,1017896000,7,0.74,0.42
OBJ-00072,2023,1,AGC-009,PRD-008,744465000,11,0.6,0.62
OBJ-00073,2023,1,AGC-010,PRD-001,409771000,16,0.76,0.61
OBJ-00074,2023,1,AGC-010,PRD-002,274629000,10,0.71,0.51
OBJ-00075,2023,1,AGC-010,PRD-003,223049000,12,0.79,0.59
OBJ-00076,2023,1,AGC-010,PRD-004,359523000,17,0.69,0.64
OBJ-00077,2023,1,AGC-010,PRD-005,271682000,11,0.79,0.55
OBJ-00078,2023,1,AGC-010,PRD-006,513456000,12,0.71,0.57
OBJ-00079,2023,1,AGC-010,PRD-007,711052000,12,0.68,0.63
OBJ-00080,2023,1,AGC-010,PRD-008,792879000,7,0.64,0.58
OBJ-00081,2023,1,AGC-011,PRD-001,545040000,18,0.71,0.55
OBJ-00082,2023,1,AGC-011,PRD-002,479536000,16,0.67,0.6
OBJ-00083,2023,1,AGC-011,PRD-003,283393000,9,0.75,0.54
OBJ-00084,2023,1,AGC-011,PRD-004,231386000,8,0.71,0.5
OBJ-00085,2023,1,AGC-011,PRD-005,143391000,9,0.63,0.65
OBJ-00086,2023,1,AGC-011,PRD-006,372752000,18,0.71,0.62
OBJ-00087,2023,1,AGC-011,PRD-007,1444793000,5,0.76,0.46
OBJ-00088,2023,1,AGC-011,PRD-008,949801000,16,0.64,0.64
OBJ-00089,2023,1,AGC-012,PRD-001,304449000,5,0.64,0.61
OBJ-00090,2023,1,AGC-012,PRD-002,235803000,8,0.74,0.48
OBJ-00091,2023,1,AGC-012,PRD-003,459663000,9,0.62,0.47
OBJ-00092,2023,1,AGC-012,PRD-004,234151000,13,0.76,0.63
OBJ-00093,2023,1,AGC-012,PRD-005,269166000,10,0.63,0.63
OBJ-00094,2023,1,AGC-012,PRD-006,440314000,16,0.74,0.46
OBJ-00095,2023,1,AGC-012,PRD-007,900695000,9,0.69,0.51
OBJ-00096,2023,1,AGC-012,PRD-008,993170000,8,0.64,0.63
OBJ-00097,2023,2,AGC-001,PRD-001,1506599000,42,0.75,0.4
OBJ-00098,2023,2,AGC-001,PRD-002,925988000,31,0.79,0.62
OBJ-00099,2023,2,AGC-001,PRD-003,910406000,22,0.68,0.53
OBJ-00100,2023,2,AGC-001,PRD-004,1675544000,16,0.7,0.57
OBJ-00101,2023,2,AGC-001,PRD-005,886665000,25,0.67,0.56
OBJ-00102,2023,2,AGC-001,PRD-006,1385942000,40,0.62,0.64
OBJ-00103,2023,2,AGC-001,PRD-007,4040046000,36,0.61,0.53
OBJ-00104,2023,2,AGC-001,PRD-008,2876273000,22,0.62,0.62
OBJ-00105,2023,2,AGC-002,PRD-001,1606595000,49,0.78,0.62
OBJ-00106,2023,2,AGC-002,PRD-002,1009038000,15,0.68,0.43
OBJ-00107,2023,2,AGC-002,PRD-003,1117383000,45,0.62,0.64
OBJ-00108,2023,2,AGC-002,PRD-004,1297063000,49,0.69,0.64
OBJ-00109,2023,2,AGC-002,PRD-005,533041000,44,0.62,0.59
OBJ-00110,2023,2,AGC-002,PRD-006,894887000,34,0.73,0.63
OBJ-00111,2023,2,AGC-002,PRD-007,3860447000,44,0.62,0.42
OBJ-00112,2023,2,AGC-002,PRD-008,3124159000,39,0.8,0.63
OBJ-00113,2023,2,AGC-003,PRD-001,809754000,42,0.64,0.54
OBJ-00114,2023,2,AGC-003,PRD-002,1603661000,45,0.72,0.54
OBJ-00115,2023,2,AGC-003,PRD-003,1617269000,37,0.72,0.58
OBJ-00116,2023,2,AGC-003,PRD-004,1520863000,36,0.69,0.64
OBJ-00117,2023,2,AGC-003,PRD-005,432973000,40,0.71,0.62
OBJ-00118,2023,2,AGC-003,PRD-006,1148116000,21,0.67,0.59
OBJ-00119,2023,2,AGC-003,PRD-007,2714724000,26,0.69,0.48
OBJ-00120,2023,2,AGC-003,PRD-008,2157989000,16,0.62,0.6
OBJ-00121,2023,2,AGC-004,PRD-001,255950000,9,0.64,0.56
OBJ-00122,2023,2,AGC-004,PRD-002,410047000,8,0.66,0.46
OBJ-00123,2023,2,AGC-004,PRD-003,235454000,10,0.63,0.4
OBJ-00124,2023,2,AGC-004,PRD-004,214010000,17,0.65,0.41
OBJ-00125,2023,2,AGC-004,PRD-005,281006000,9,0.76,0.44
OBJ-00126,2023,2,AGC-004,PRD-006,223190000,12,0.75,0.45
OBJ-00127,2023,2,AGC-004,PRD-007,504467000,17,0.77,0.49
OBJ-00128,2023,2,AGC-004,PRD-008,1217703000,15,0.7,0.63
OBJ-00129,2023,2,AGC-005,PRD-001,591939000,16,0.77,0.42
OBJ-00130,2023,2,AGC-005,PRD-002,355412000,13,0.68,0.57
OBJ-00131,2023,2,AGC-005,PRD-003,421029000,11,0.68,0.46
OBJ-00132,2023,2,AGC-005,PRD-004,342440000,8,0.61,0.59
OBJ-00133,2023,2,AGC-005,PRD-005,140368000,5,0.77,0.6
OBJ-00134,2023,2,AGC-005,PRD-006,459300000,16,0.61,0.44
OBJ-00135,2023,2,AGC-005,PRD-007,693482000,14,0.62,0.54
OBJ-00136,2023,2,AGC-005,PRD-008,1284019000,8,0.63,0.59
OBJ-00137,2023,2,AGC-006,PRD-001,593945000,4,0.64,0.4
OBJ-00138,2023,2,AGC-006,PRD-002,586912000,18,0.64,0.54
OBJ-00139,2023,2,AGC-006,PRD-003,285629000,13,0.77,0.48
OBJ-00140,2023,2,AGC-006,PRD-004,273248000,9,0.72,0.58
OBJ-00141,2023,2,AGC-006,PRD-005,236066000,7,0.76,0.57
OBJ-00142,2023,2,AGC-006,PRD-006,254580000,5,0.63,0.41
OBJ-00143,2023,2,AGC-006,PRD-007,1292405000,11,0.77,0.63
OBJ-00144,2023,2,AGC-006,PRD-008,615074000,6,0.74,0.57
OBJ-00145,2023,2,AGC-007,PRD-001,281525000,15,0.78,0.5
OBJ-00146,2023,2,AGC-007,PRD-002,575323000,6,0.66,0.52
OBJ-00147,2023,2,AGC-007,PRD-003,296223000,15,0.63,0.43
OBJ-00148,2023,2,AGC-007,PRD-004,255525000,6,0.65,0.45
OBJ-00149,2023,2,AGC-007,PRD-005,260535000,15,0.79,0.61
OBJ-00150,2023,2,AGC-007,PRD-006,364406000,4,0.72,0.47
OBJ-00151,2023,2,AGC-007,PRD-007,1005856000,15,0.7,0.59
OBJ-00152,2023,2,AGC-007,PRD-008,1059508000,13,0.62,0.54
OBJ-00153,2023,2,AGC-008,PRD-001,315384000,4,0.68,0.5
OBJ-00154,2023,2,AGC-008,PRD-002,412880000,14,0.72,0.4
OBJ-00155,2023,2,AGC-008,PRD-003,214541000,15,0.73,0.41
OBJ-00156,2023,2,AGC-008,PRD-004,472850000,14,0.7,0.56
OBJ-00157,2023,2,AGC-008,PRD-005,211450000,16,0.78,0.51
OBJ-00158,2023,2,AGC-008,PRD-006,243090000,7,0.65,0.54
OBJ-00159,2023,2,AGC-008,PRD-007,810127000,7,0.79,0.61
OBJ-00160,2023,2,AGC-008,PRD-008,862590000,7,0.76,0.57
OBJ-00161,2023,2,AGC-009,PRD-001,454853000,5,0.66,0.52
OBJ-00162,2023,2,AGC-009,PRD-002,590081000,16,0.6,0.42
OBJ-00163,2023,2,AGC-009,PRD-003,303671000,13,0.8,0.47
OBJ-00164,2023,2,AGC-009,PRD-004,252548000,8,0.71,0.43
OBJ-00165,2023,2,AGC-009,PRD-005,214148000,5,0.73,0.42
OBJ-00166,2023,2,AGC-009,PRD-006,280379000,12,0.65,0.48
OBJ-00167,2023,2,AGC-009,PRD-007,1052210000,14,0.62,0.55
OBJ-00168,2023,2,AGC-009,PRD-008,732652000,18,0.65,0.43
OBJ-00169,2023,2,AGC-010,PRD-001,416185000,15,0.71,0.44
OBJ-00170,2023,2,AGC-010,PRD-002,248012000,17,0.64,0.52
OBJ-00171,2023,2,AGC-010,PRD-003,454454000,10,0.8,0.55
OBJ-00172,2023,2,AGC-010,PRD-004,390715000,9,0.67,0.4
OBJ-00173,2023,2,AGC-010,PRD-005,237706000,8,0.73,0.45
OBJ-00174,2023,2,AGC-010,PRD-006,208042000,7,0.77,0.48
OBJ-00175,2023,2,AGC-010,PRD-007,1298438000,8,0.64,0.63
OBJ-00176,2023,2,AGC-010,PRD-008,878652000,18,0.72,0.64
OBJ-00177,2023,2,AGC-011,PRD-001,550309000,15,0.63,0.55
OBJ-00178,2023,2,AGC-011,PRD-002,454691000,16,0.79,0.5
OBJ-00179,2023,2,AGC-011,PRD-003,239956000,6,0.69,0.53
OBJ-00180,2023,2,AGC-011,PRD-004,581568000,13,0.77,0.4
OBJ-00181,2023,2,AGC-011,PRD-005,118202000,14,0.64,0.5
OBJ-00182,2023,2,AGC-011,PRD-006,533952000,13,0.67,0.64
OBJ-00183,2023,2,AGC-011,PRD-007,1315926000,4,0.77,0.5
OBJ-00184,2023,2,AGC-011,PRD-008,1313849000,16,0.66,0.44
OBJ-00185,2023,2,AGC-012,PRD-001,398785000,6,0.78,0.6
OBJ-00186,2023,2,AGC-012,PRD-002,220068000,10,0.75,0.62
OBJ-00187,2023,2,AGC-012,PRD-003,254832000,16,0.63,0.52
OBJ-00188,2023,2,AGC-012,PRD-004,585769000,7,0.64,0.57
OBJ-00189,2023,2,AGC-012,PRD-005,177480000,12,0.6,0.63
OBJ-00190,2023,2,AGC-012,PRD-006,500750000,16,0.6,0.45
OBJ-00191,2023,2,AGC-012,PRD-007,1087024000,16,0.61,0.63
OBJ-00192,2023,2,AGC-012,PRD-008,1256062000,8,0.7,0.58
OBJ-00193,2023,3,AGC-001,PRD-001,1724336000,23,0.62,0.44
OBJ-00194,2023,3,AGC-001,PRD-002,1081887000,49,0.64,0.42
OBJ-00195,2023,3,AGC-001,PRD-003,1639316000,50,0.61,0.48
OBJ-00196,2023,3,AGC-001,PRD-004,1643339000,40,0.72,0.44
OBJ-00197,2023,3,AGC-001,PRD-005,628715000,25,0.67,0.54
OBJ-00198,2023,3,AGC-001,PRD-006,1732274000,34,0.75,0.63
OBJ-00199,2023,3,AGC-001,PRD-007,2049878000,45,0.74,0.43
OBJ-00200,2023,3,AGC-001,PRD-008,4324354000,42,0.76,0.63
OBJ-00201,2023,3,AGC-002,PRD-001,1525125000,38,0.72,0.49
OBJ-00202,2023,3,AGC-002,PRD-002,849099000,31,0.65,0.46
OBJ-00203,2023,3,AGC-002,PRD-003,1699228000,20,0.73,0.55
OBJ-00204,2023,3,AGC-002,PRD-004,1122463000,18,0.68,0.63
OBJ-00205,2023,3,AGC-002,PRD-005,826580000,38,0.72,0.41
OBJ-00206,2023,3,AGC-002,PRD-006,801599000,17,0.72,0.63
OBJ-00207,2023,3,AGC-002,PRD-007,2165672000,44,0.78,0.46
OBJ-00208,2023,3,AGC-002,PRD-008,3308883000,28,0.67,0.43
OBJ-00209,2023,3,AGC-003,PRD-001,826431000,15,0.78,0.55
OBJ-00210,2023,3,AGC-003,PRD-002,1513585000,28,0.8,0.53
OBJ-00211,2023,3,AGC-003,PRD-003,1543437000,47,0.77,0.57
OBJ-00212,2023,3,AGC-003,PRD-004,1362194000,35,0.72,0.62
OBJ-00213,2023,3,AGC-003,PRD-005,771089000,39,0.72,0.62
OBJ-00214,2023,3,AGC-003,PRD-006,1204105000,39,0.65,0.42
OBJ-00215,2023,3,AGC-003,PRD-007,3468835000,18,0.61,0.43
OBJ-00216,2023,3,AGC-003,PRD-008,3878091000,15,0.78,0.46
OBJ-00217,2023,3,AGC-004,PRD-001,286078000,16,0.62,0.55
OBJ-00218,2023,3,AGC-004,PRD-002,535734000,9,0.62,0.56
OBJ-00219,2023,3,AGC-004,PRD-003,234379000,13,0.7,0.45
OBJ-00220,2023,3,AGC-004,PRD-004,482179000,10,0.61,0.57
OBJ-00221,2023,3,AGC-004,PRD-005,123661000,11,0.75,0.52
OBJ-00222,2023,3,AGC-004,PRD-006,355843000,9,0.75,0.4
OBJ-00223,2023,3,AGC-004,PRD-007,1355321000,15,0.79,0.63
OBJ-00224,2023,3,AGC-004,PRD-008,1030861000,12,0.73,0.54
OBJ-00225,2023,3,AGC-005,PRD-001,358262000,16,0.7,0.63
OBJ-00226,2023,3,AGC-005,PRD-002,507399000,4,0.76,0.41
OBJ-00227,2023,3,AGC-005,PRD-003,538238000,7,0.71,0.57
OBJ-00228,2023,3,AGC-005,PRD-004,394822000,13,0.69,0.54
OBJ-00229,2023,3,AGC-005,PRD-005,119215000,13,0.78,0.62
OBJ-00230,2023,3,AGC-005,PRD-006,334194000,13,0.64,0.43
OBJ-00231,2023,3,AGC-005,PRD-007,1154751000,4,0.75,0.55
OBJ-00232,2023,3,AGC-005,PRD-008,894069000,10,0.68,0.5
OBJ-00233,2023,3,AGC-006,PRD-001,338795000,14,0.69,0.61
OBJ-00234,2023,3,AGC-006,PRD-002,559287000,13,0.64,0.53
OBJ-00235,2023,3,AGC-006,PRD-003,274448000,10,0.72,0.53
OBJ-00236,2023,3,AGC-006,PRD-004,321340000,14,0.65,0.49
OBJ-00237,2023,3,AGC-006,PRD-005,134570000,13,0.73,0.58
OBJ-00238,2023,3,AGC-006,PRD-006,349620000,14,0.61,0.57
OBJ-00239,2023,3,AGC-006,PRD-007,969175000,15,0.66,0.46
OBJ-00240,2023,3,AGC-006,PRD-008,914971000,6,0.78,0.47
OBJ-00241,2023,3,AGC-007,PRD-001,588242000,7,0.76,0.57
OBJ-00242,2023,3,AGC-007,PRD-002,424678000,15,0.68,0.43
OBJ-00243,2023,3,AGC-007,PRD-003,518701000,18,0.72,0.63
OBJ-00244,2023,3,AGC-007,PRD-004,534855000,8,0.6,0.5
OBJ-00245,2023,3,AGC-007,PRD-005,295967000,8,0.61,0.54
OBJ-00246,2023,3,AGC-007,PRD-006,248403000,10,0.7,0.63
OBJ-00247,2023,3,AGC-007,PRD-007,1249550000,14,0.64,0.45
OBJ-00248,2023,3,AGC-007,PRD-008,712042000,5,0.6,0.46
OBJ-00249,2023,3,AGC-008,PRD-001,489797000,9,0.7,0.47
OBJ-00250,2023,3,AGC-008,PRD-002,269541000,13,0.62,0.48
OBJ-00251,2023,3,AGC-008,PRD-003,253988000,9,0.73,0.43
OBJ-00252,2023,3,AGC-008,PRD-004,484088000,16,0.64,0.57
OBJ-00253,2023,3,AGC-008,PRD-005,157400000,18,0.74,0.53
OBJ-00254,2023,3,AGC-008,PRD-006,540018000,11,0.63,0.5
OBJ-00255,2023,3,AGC-008,PRD-007,1145937000,10,0.62,0.47
OBJ-00256,2023,3,AGC-008,PRD-008,567439000,8,0.65,0.48
OBJ-00257,2023,3,AGC-009,PRD-001,491217000,14,0.63,0.58
OBJ-00258,2023,3,AGC-009,PRD-002,232148000,16,0.69,0.52
OBJ-00259,2023,3,AGC-009,PRD-003,519364000,13,0.72,0.54
OBJ-00260,2023,3,AGC-009,PRD-004,506851000,15,0.72,0.61
OBJ-00261,2023,3,AGC-009,PRD-005,268971000,4,0.76,0.59
OBJ-00262,2023,3,AGC-009,PRD-006,582937000,12,0.72,0.53
OBJ-00263,2023,3,AGC-009,PRD-007,733821000,10,0.68,0.62
OBJ-00264,2023,3,AGC-009,PRD-008,1273261000,7,0.75,0.58
OBJ-00265,2023,3,AGC-010,PRD-001,546829000,10,0.69,0.41
OBJ-00266,2023,3,AGC-010,PRD-002,551438000,10,0.67,0.65
OBJ-00267,2023,3,AGC-010,PRD-003,220801000,4,0.76,0.62
OBJ-00268,2023,3,AGC-010,PRD-004,296039000,13,0.67,0.58
OBJ-00269,2023,3,AGC-010,PRD-005,231742000,4,0.64,0.55
OBJ-00270,2023,3,AGC-010,PRD-006,302977000,9,0.75,0.45
OBJ-00271,2023,3,AGC-010,PRD-007,657724000,11,0.68,0.52
OBJ-00272,2023,3,AGC-010,PRD-008,1425295000,12,0.7,0.52
OBJ-00273,2023,3,AGC-011,PRD-001,527003000,7,0.78,0.58
OBJ-00274,2023,3,AGC-011,PRD-002,527663000,5,0.79,0.49
OBJ-00275,2023,3,AGC-011,PRD-003,223764000,13,0.77,0.48
OBJ-00276,2023,3,AGC-011,PRD-004,575052000,18,0.65,0.47
OBJ-00277,2023,3,AGC-011,PRD-005,219411000,11,0.65,0.49
OBJ-00278,2023,3,AGC-011,PRD-006,360843000,16,0.76,0.62
OBJ-00279,2023,3,AGC-011,PRD-007,1339597000,16,0.64,0.57
OBJ-00280,2023,3,AGC-011,PRD-008,1464624000,5,0.72,0.42
OBJ-00281,2023,3,AGC-012,PRD-001,497182000,4,0.8,0.54
OBJ-00282,2023,3,AGC-012,PRD-002,363025000,7,0.77,0.46
OBJ-00283,2023,3,AGC-012,PRD-003,278150000,16,0.61,0.51
OBJ-00284,2023,3,AGC-012,PRD-004,468973000,4,0.61,0.49
OBJ-00285,2023,3,AGC-012,PRD-005,222944000,6,0.61,0.5
OBJ-00286,2023,3,AGC-012,PRD-006,273325000,6,0.69,0.42
OBJ-00287,2023,3,AGC-012,PRD-007,685512000,15,0.68,0.54
OBJ-00288,2023,3,AGC-012,PRD-008,1122840000,9,0.8,0.56
OBJ-00289,2023,4,AGC-001,PRD-001,1412749000,39,0.69,0.53
OBJ-00290,2023,4,AGC-001,PRD-002,1758746000,28,0.78,0.53
OBJ-00291,2023,4,AGC-001,PRD-003,1561020000,48,0.6,0.54
OBJ-00292,2023,4,AGC-001,PRD-004,1293680000,30,0.75,0.45
OBJ-00293,2023,4,AGC-001,PRD-005,469055000,47,0.7,0.57
OBJ-00294,2023,4,AGC-001,PRD-006,1484756000,20,0.74,0.65
OBJ-00295,2023,4,AGC-001,PRD-007,2405021000,27,0.79,0.64
OBJ-00296,2023,4,AGC-001,PRD-008,2488479000,50,0.75,0.43
OBJ-00297,2023,4,AGC-002,PRD-001,1758339000,21,0.64,0.55
OBJ-00298,2023,4,AGC-002,PRD-002,1450308000,25,0.7,0.42
OBJ-00299,2023,4,AGC-002,PRD-003,1556734000,16,0.6,0.45
OBJ-00300,2023,4,AGC-002,PRD-004,1645468000,45,0.77,0.61
OBJ-00301,2023,4,AGC-002,PRD-005,544440000,29,0.61,0.47
OBJ-00302,2023,4,AGC-002,PRD-006,1642603000,38,0.61,0.45
OBJ-00303,2023,4,AGC-002,PRD-007,3376729000,47,0.75,0.44
OBJ-00304,2023,4,AGC-002,PRD-008,3638054000,43,0.74,0.58
OBJ-00305,2023,4,AGC-003,PRD-001,843527000,38,0.69,0.47
OBJ-00306,2023,4,AGC-003,PRD-002,1459537000,49,0.76,0.43
OBJ-00307,2023,4,AGC-003,PRD-003,1612216000,49,0.6,0.54
OBJ-00308,2023,4,AGC-003,PRD-004,1239684000,42,0.76,0.62
OBJ-00309,2023,4,AGC-003,PRD-005,788751000,49,0.71,0.64
OBJ-00310,2023,4,AGC-003,PRD-006,1503033000,21,0.74,0.44
OBJ-00311,2023,4,AGC-003,PRD-007,2298968000,34,0.79,0.42
OBJ-00312,2023,4,AGC-003,PRD-008,2637931000,50,0.74,0.64
OBJ-00313,2023,4,AGC-004,PRD-001,257619000,16,0.8,0.48
OBJ-00314,2023,4,AGC-004,PRD-002,539148000,8,0.61,0.57
OBJ-00315,2023,4,AGC-004,PRD-003,308349000,7,0.79,0.55
OBJ-00316,2023,4,AGC-004,PRD-004,428045000,17,0.72,0.42
OBJ-00317,2023,4,AGC-004,PRD-005,223312000,4,0.67,0.45
OBJ-00318,2023,4,AGC-004,PRD-006,533002000,10,0.78,0.58
OBJ-00319,2023,4,AGC-004,PRD-007,1099673000,5,0.71,0.55
OBJ-00320,2023,4,AGC-004,PRD-008,1050724000,12,0.78,0.41
OBJ-00321,2023,4,AGC-005,PRD-001,438633000,11,0.68,0.5
OBJ-00322,2023,4,AGC-005,PRD-002,528236000,14,0.65,0.56
OBJ-00323,2023,4,AGC-005,PRD-003,584758000,18,0.7,0.48
OBJ-00324,2023,4,AGC-005,PRD-004,331993000,11,0.72,0.59
OBJ-00325,2023,4,AGC-005,PRD-005,207759000,13,0.77,0.54
OBJ-00326,2023,4,AGC-005,PRD-006,412672000,16,0.79,0.41
OBJ-00327,2023,4,AGC-005,PRD-007,1040500000,13,0.63,0.61
OBJ-00328,2023,4,AGC-005,PRD-008,525431000,8,0.62,0.55
OBJ-00329,2023,4,AGC-006,PRD-001,400520000,12,0.71,0.58
OBJ-00330,2023,4,AGC-006,PRD-002,317325000,4,0.65,0.49
OBJ-00331,2023,4,AGC-006,PRD-003,214637000,7,0.69,0.5
OBJ-00332,2023,4,AGC-006,PRD-004,218127000,6,0.77,0.62
OBJ-00333,2023,4,AGC-006,PRD-005,187963000,4,0.64,0.62
OBJ-00334,2023,4,AGC-006,PRD-006,350414000,14,0.69,0.6
OBJ-00335,2023,4,AGC-006,PRD-007,508770000,10,0.7,0.61
OBJ-00336,2023,4,AGC-006,PRD-008,1333222000,11,0.64,0.42
OBJ-00337,2023,4,AGC-007,PRD-001,451322000,7,0.69,0.61
OBJ-00338,2023,4,AGC-007,PRD-002,280007000,7,0.74,0.41
OBJ-00339,2023,4,AGC-007,PRD-003,561386000,5,0.74,0.56
OBJ-00340,2023,4,AGC-007,PRD-004,389702000,17,0.79,0.52
OBJ-00341,2023,4,AGC-007,PRD-005,277839000,5,0.65,0.43
OBJ-00342,2023,4,AGC-007,PRD-006,205396000,17,0.7,0.41
OBJ-00343,2023,4,AGC-007,PRD-007,1230051000,5,0.68,0.64
OBJ-00344,2023,4,AGC-007,PRD-008,1172149000,5,0.62,0.59
OBJ-00345,2023,4,AGC-008,PRD-001,210934000,6,0.75,0.59
OBJ-00346,2023,4,AGC-008,PRD-002,377419000,14,0.69,0.62
OBJ-00347,2023,4,AGC-008,PRD-003,292588000,10,0.62,0.55
OBJ-00348,2023,4,AGC-008,PRD-004,485364000,15,0.66,0.46
OBJ-00349,2023,4,AGC-008,PRD-005,203895000,5,0.74,0.64
OBJ-00350,2023,4,AGC-008,PRD-006,302077000,18,0.67,0.49
OBJ-00351,2023,4,AGC-008,PRD-007,1231038000,14,0.63,0.45
OBJ-00352,2023,4,AGC-008,PRD-008,1205265000,17,0.63,0.53
