ID Contrat,ID Client,ID Produit,ID Agent,ID Agence,Date Début,Date Fin,Statut Contrat,Montant Prime,Montant Commission,Fréquence Paiement,Renouvelé,Mode Paiement,Durée Contrat Mois
CTR-00071,CLT-0998,PRD-003,AGT-048,AGC-008,2024-12-24,2025-12-19,Expiré,7248000,652000,Mensuelle,Non,Chèque,12
CTR-00072,CLT-0534,PRD-008,AGT-053,AGC-010,2023-11-09,2025-10-29,Expiré,37925000,4930000,Annuelle,Non,Virement bancaire,24
CTR-00073,CLT-0079,PRD-006,AGT-056,AGC-011,2024-08-12,2025-08-07,Expiré,16083000,1769000,Annuelle,Non,Chèque,12
CTR-00074,CLT-0435,PRD-005,AGT-056,AGC-011,2024-05-06,2025-05-01,Expiré,2156000,129000,Mensuelle,Non,Espèces,12
CTR-00075,CLT-0195,PRD-008,AGT-043,AGC-007,2024-12-20,2025-12-15,Expiré,134376000,17469000,Annuelle,Non,Chèque,12
CTR-00076,CLT-0968,PRD-004,AGT-034,AGC-005,2024-04-04,2027-03-20,Actif,6722000,471000,Trimestrielle,Non,Mobile Money,36
CTR-00077,CLT-0077,PRD-003,AGT-006,AGC-001,2023-02-22,2024-02-17,Expiré,7479000,673000,Annuelle,Oui,Mobile Money,12
CTR-00078,CLT-0553,PRD-007,AGT-051,AGC-009,2023-11-03,2024-10-28,Expiré,10112000,1213000,Trimestrielle,Non,Chèque,12
CTR-00079,CLT-0952,PRD-008,AGT-035,AGC-006,2024-04-19,2026-04-09,Actif,78626000,10221000,Mensuelle,Oui,Mobile Money,24
CTR-00080,CLT-0306,PRD-003,AGT-003,AGC-001,2024-02-16,2025-02-10,Expiré,8905000,801000,Trimestrielle,Oui,Espèces,12
CTR-00081,CLT-0127,PRD-008,AGT-005,AGC-001,2023-08-20,2024-08-14,Expiré,42337000,5504000,Trimestrielle,Non,Mobile Money,12
CTR-00082,CLT-0450,PRD-005,AGT-019,AGC-003,2023-12-29,2025-12-18,Expiré,2244000,135000,Mensuelle,Non,Mobile Money,24
CTR-00083,CLT-0137,PRD-003,AGT-040,AGC-007,2023-06-14,2025-06-03,Résilié,17432000,1569000,Annuelle,Non,Espèces,24
CTR-00084,CLT-0501,PRD-004,AGT-046,AGC-008,2023-11-29,2025-11-18,Expiré,4799000,336000,Semestrielle,Non,Carte bancaire,24
CTR-00085,CLT-0135,PRD-001,AGT-001,AGC-001,2023-05-10,2024-05-04,Expiré,4186000,335000,Semestrielle,Oui,Mobile Money,12
CTR-00086,CLT-1000,PRD-004,AGT-008,AGC-001,2023-10-24,2024-10-18,Expiré,5003000,350000,Semestrielle,Non,Espèces,12
CTR-00087,CLT-0288,PRD-006,AGT-050,AGC-009,2024-11-13,2026-11-03,Actif,8968000,986000,Annuelle,Non,Virement bancaire,24
CTR-00088,CLT-0515,PRD-005,AGT-012,AGC-002,2023-08-23,2024-08-17,Expiré,902000,54000,Mensuelle,Oui,Espèces,12
CTR-00089,CLT-0205,PRD-001,AGT-007,AGC-001,2024-06-21,2025-06-16,Expiré,2310000,185000,Trimestrielle,Non,Mobile Money,12
CTR-00090,CLT-0660,PRD-001,AGT-006,AGC-001,2023-10-15,2026-09-29,Actif,3991000,319000,Annuelle,Oui,Espèces,36
CTR-00091,CLT-0001,PRD-001,AGT-041,AGC-007,2023-10-20,2024-10-14,Résilié,1853000,148000,Mensuelle,Non,Chèque,12
CTR-00092,CLT-0373,PRD-003,AGT-001,AGC-001,2024-11-30,2025-11-25,Résilié,6975000,628000,Semestrielle,Non,Mobile Money,12
CTR-00093,CLT-0798,PRD-004,AGT-031,AGC-005,2024-10-27,2025-10-22,Expiré,2611000,183000,Semestrielle,Oui,Virement bancaire,12
CTR-00094,CLT-0043,PRD-004,AGT-055,AGC-010,2025-04-17,2026-04-12,Actif,10576000,740000,Mensuelle,Non,Mobile Money,12
CTR-00095,CLT-0352,PRD-002,AGT-026,AGC-004,2024-06-30,2026-06-20,Actif,4350000,435000,Semestrielle,Oui,Mobile Money,24
CTR-00096,CLT-0899,PRD-006,AGT-051,AGC-009,2024-01-10,2025-01-04,Expiré,23217000,2554000,Trimestrielle,Oui,Chèque,12
CTR-00097,CLT-0516,PRD-006,AGT-005,AGC-001,2024-12-14,2027-11-29,Actif,10793000,1187000,Mensuelle,Non,Chèque,36
CTR-00098,CLT-0195,PRD-006,AGT-023,AGC-003,2024-06-29,2026-06-19,Actif,36689000,4036000,Annuelle,Oui,Mobile Money,24
CTR-00099,CLT-0799,PRD-003,AGT-031,AGC-005,2023-07-08,2024-07-02,Expiré,12249000,1102000,Annuelle,Oui,Mobile Money,12
CTR-00100,CLT-0516,PRD-006,AGT-027,AGC-004,2025-05-22,2026-05-17,Actif,19165000,2108000,Mensuelle,Non,Espèces,12
CTR-00101,CLT-0244,PRD-002,AGT-037,AGC-006,2023-05-17,2024-05-11,Expiré,9139000,914000,Annuelle,Oui,Mobile Money,12
CTR-00102,CLT-0002,PRD-005,AGT-037,AGC-006,2023-11-29,2024-11-23,Expiré,1824000,109000,Trimestrielle,Non,Virement bancaire,12
CTR-00103,CLT-0333,PRD-008,AGT-035,AGC-006,2025-04-23,2026-04-18,Actif,69786000,9072000,Mensuelle,Oui,Espèces,12
CTR-00104,CLT-0674,PRD-008,AGT-045,AGC-008,2025-01-09,2026-12-30,Actif,43649000,5674000,Annuelle,Non,Virement bancaire,24
CTR-00105,CLT-0565,PRD-002,AGT-020,AGC-003,2023-10-03,2024-09-27,Expiré,10866000,1087000,Trimestrielle,Non,Virement bancaire,12
CTR-00106,CLT-0445,PRD-003,AGT-053,AGC-010,2024-05-22,2025-05-17,Expiré,13348000,1201000,Trimestrielle,Oui,Virement bancaire,12
CTR-00107,CLT-0664,PRD-002,AGT-012,AGC-002,2025-04-17,2026-04-12,Actif,8863000,886000,Mensuelle,Oui,Mobile Money,12
CTR-00108,CLT-0931,PRD-005,AGT-023,AGC-003,2024-06-23,2025-06-18,Expiré,421000,25000,Trimestrielle,Oui,Espèces,12
CTR-00109,CLT-0014,PRD-006,AGT-035,AGC-006,2023-05-16,2024-05-10,Expiré,9852000,1084000,Mensuelle,Non,Chèque,12
CTR-00110,CLT-0981,PRD-006,AGT-032,AGC-005,2025-05-23,2027-05-13,Actif,11255000,1238000,Semestrielle,Oui,Mobile Money,24
CTR-00111,CLT-0168,PRD-002,AGT-026,AGC-004,2023-02-27,2024-02-22,Expiré,8349000,835000,Mensuelle,Oui,Mobile Money,12
CTR-00112,CLT-0106,PRD-004,AGT-050,AGC-009,2023-01-02,2025-12-17,Expiré,4990000,349000,Semestrielle,Oui,Mobile Money,36
CTR-00113,CLT-0901,PRD-005,AGT-035,AGC-006,2024-05-18,2025-05-13,Expiré,524000,31000,Trimestrielle,Non,Virement bancaire,12
CTR-00114,CLT-0122,PRD-003,AGT-056,AGC-011,2023-02-14,2025-02-03,Expiré,14471000,1302000,Semestrielle,Non,Espèces,24
CTR-00115,CLT-0684,PRD-005,AGT-037,AGC-006,2023-12-23,2025-12-12,Expiré,1693000,102000,Mensuelle,Non,Chèque,24
CTR-00116,CLT-0818,PRD-001,AGT-003,AGC-001,2025-03-07,2027-02-25,Actif,4237000,339000,Semestrielle,Oui,Carte bancaire,24
CTR-00117,CLT-0490,PRD-007,AGT-007,AGC-001,2025-01-14,2026-01-09,Actif,14522000,1743000,Mensuelle,Non,Mobile Money,12
CTR-00118,CLT-0327,PRD-004,AGT-028,AGC-004,2024-09-08,2026-08-29,Actif,4334000,303000,Semestrielle,Non,Mobile Money,24
CTR-00119,CLT-0429,PRD-004,AGT-028,AGC-004,2024-06-29,2025-06-24,Expiré,2585000,181000,Trimestrielle,Non,Carte bancaire,12
CTR-00120,CLT-0831,PRD-006,AGT-041,AGC-007,2024-01-06,2024-12-31,Résilié,5343000,588000,Semestrielle,Non,Chèque,12
CTR-00121,CLT-0944,PRD-001,AGT-054,AGC-010,2025-05-19,2027-05-09,Actif,4225000,338000,Trimestrielle,Oui,Carte bancaire,24
CTR-00122,CLT-0565,PRD-008,AGT-053,AGC-010,2023-08-04,2025-07-24,Expiré,25335000,3294000,Semestrielle,Non,Mobile Money,24
CTR-00123,CLT-0027,PRD-005,AGT-018,AGC-003,2024-12-19,2025-12-14,Expiré,1349000,81000,Mensuelle,Non,Espèces,12
CTR-00124,CLT-0145,PRD-001,AGT-007,AGC-001,2023-06-03,2025-05-23,Expiré,3373000,270000,Annuelle,Non,Mobile Money,24
CTR-00125,CLT-0740,PRD-003,AGT-045,AGC-008,2023-10-21,2024-10-15,Expiré,10709000,964000,Mensuelle,Non,Espèces,12
CTR-00126,CLT-0406,PRD-007,AGT-038,AGC-006,2024-07-21,2026-07-11,Actif,22903000,2748000,Trimestrielle,Non,Mobile Money,24
CTR-00127,CLT-0954,PRD-001,AGT-060,AGC-012,2023-05-09,2025-04-28,Expiré,1696000,136000,Annuelle,Non,Chèque,24
CTR-00128,CLT-0620,PRD-007,AGT-048,AGC-008,2024-05-03,2025-04-28,Expiré,51363000,6164000,Annuelle,Oui,Virement bancaire,12
CTR-00129,CLT-0200,PRD-002,AGT-006,AGC-001,2024-09-09,2026-08-30,Actif,6684000,668000,Mensuelle,Oui,Espèces,24
CTR-00130,CLT-0217,PRD-004,AGT-042,AGC-007,2023-07-12,2024-07-06,Expiré,2227000,156000,Annuelle,Oui,Virement bancaire,12
CTR-00131,CLT-0578,PRD-008,AGT-025,AGC-004,2023-11-19,2024-11-13,Expiré,88541000,11510000,Annuelle,Non,Mobile Money,12
CTR-00132,CLT-0323,PRD-006,AGT-041,AGC-007,2024-12-20,2026-12-10,Actif,11626000,1279000,Trimestrielle,Non,Mobile Money,24
CTR-00133,CLT-0794,PRD-001,AGT-033,AGC-005,2024-05-03,2025-04-28,Résilié,2515000,201000,Mensuelle,Non,Mobile Money,12
CTR-00134,CLT-0907,PRD-005,AGT-056,AGC-011,2025-06-24,2026-06-19,Actif,1799000,108000,Semestrielle,Oui,Chèque,12
CTR-00135,CLT-0514,PRD-004,AGT-044,AGC-007,2025-02-26,2026-02-21,Actif,7497000,525000,Trimestrielle,Oui,Carte bancaire,12
CTR-00136,CLT-0442,PRD-001,AGT-043,AGC-007,2023-09-02,2024-08-27,Expiré,1762000,141000,Semestrielle,Oui,Mobile Money,12
CTR-00137,CLT-0825,PRD-001,AGT-047,AGC-008,2024-07-14,2026-07-04,Actif,6527000,522000,Trimestrielle,Non,Mobile Money,24
CTR-00138,CLT-0174,PRD-008,AGT-005,AGC-001,2024-08-13,2025-08-08,Expiré,28439000,3697000,Mensuelle,Non,Mobile Money,12
CTR-00139,CLT-0263,PRD-006,AGT-019,AGC-003,2023-05-07,2026-04-21,Actif,17974000,1977000,Mensuelle,Oui,Mobile Money,36
CTR-00140,CLT-0635,PRD-008,AGT-006,AGC-001,2024-06-08,2026-05-29,Actif,86403000,11232000,Semestrielle,Oui,Mobile Money,24
CTR-00141,CLT-0270,PRD-007,AGT-059,AGC-012,2024-09-27,2027-09-12,Actif,12853000,1542000,Semestrielle,Non,Virement bancaire,36
CTR-00142,CLT-0159,PRD-007,AGT-012,AGC-002,2024-08-06,2025-08-01,Expiré,29411000,3529000,Mensuelle,Non,Mobile Money,12
CTR-00143,CLT-0658,PRD-004,AGT-045,AGC-008,2023-03-29,2024-03-23,Expiré,8717000,610000,Trimestrielle,Non,Mobile Money,12
CTR-00144,CLT-0067,PRD-002,AGT-060,AGC-012,2023-08-06,2025-07-26,Expiré,7761000,776000,Mensuelle,Oui,Mobile Money,24
CTR-00145,CLT-0656,PRD-002,AGT-034,AGC-005,2025-03-03,2026-02-26,Actif,17314000,1731000,Trimestrielle,Oui,Mobile Money,12
CTR-00146,CLT-0056,PRD-002,AGT-007,AGC-001,2023-10-04,2024-09-28,Expiré,5134000,513000,Mensuelle,Oui,Carte bancaire,12
CTR-00147,CLT-0463,PRD-007,AGT-027,AGC-004,2023-07-08,2025-06-27,Expiré,55082000,6610000,Annuelle,Oui,Espèces,24
CTR-00148,CLT-0358,PRD-008,AGT-029,AGC-004,2024-12-06,2026-11-26,Actif,131284000,17067000,Annuelle,Oui,Virement bancaire,24
CTR-00149,CLT-0843,PRD-001,AGT-046,AGC-008,2023-03-21,2025-03-10,Expiré,2006000,160000,Annuelle,Non,Virement bancaire,24
CTR-00150,CLT-0846,PRD-006,AGT-012,AGC-002,2024-04-14,2027-03-30,Actif,14989000,1649000,Annuelle,Oui,Virement bancaire,36
CTR-00151,CLT-0270,PRD-004,AGT-008,AGC-001,2025-05-02,2027-04-22,Actif,6440000,451000,Semestrielle,Non,Espèces,24
CTR-00152,CLT-0764,PRD-008,AGT-022,AGC-003,2025-03-03,2026-02-26,Actif,43317000,5631000,Annuelle,Oui,Chèque,12
CTR-00153,CLT-0591,PRD-008,AGT-020,AGC-003,2023-01-17,2024-01-12,Expiré,91986000,11958000,Trimestrielle,Oui,Chèque,12
CTR-00154,CLT-0424,PRD-003,AGT-022,AGC-003,2024-03-12,2025-03-07,Expiré,4361000,392000,Trimestrielle,Oui,Espèces,12
CTR-00155,CLT-0610,PRD-001,AGT-020,AGC-003,2025-05-15,2027-05-05,Actif,3881000,310000,Semestrielle,Non,Chèque,24
CTR-00156,CLT-0928,PRD-007,AGT-059,AGC-012,2023-04-02,2025-03-22,Expiré,47612000,5713000,Annuelle,Oui,Chèque,24
CTR-00157,CLT-0103,PRD-005,AGT-025,AGC-004,2024-11-14,2025-11-09,Expiré,790000,47000,Trimestrielle,Non,Espèces,12
CTR-00158,CLT-0481,PRD-008,AGT-024,AGC-003,2024-04-20,2025-04-15,Résilié,67788000,8812000,Semestrielle,Non,Espèces,12
CTR-00159,CLT-0384,PRD-006,AGT-027,AGC-004,2025-06-19,2027-06-09,Actif,11148000,1226000,Annuelle,Non,Virement bancaire,24
CTR-00160,CLT-0005,PRD-008,AGT-018,AGC-003,2023-01-27,2024-01-22,Expiré,76253000,9913000,Semestrielle,Non,Mobile Money,12
CTR-00161,CLT-0983,PRD-004,AGT-022,AGC-003,2024-02-05,2025-01-30,Expiré,7800000,546000,Semestrielle,Non,Espèces,12
CTR-00162,CLT-0652,PRD-003,AGT-043,AGC-007,2023-11-22,2024-11-16,Expiré,4195000,378000,Trimestrielle,Non,Virement bancaire,12
CTR-00163,CLT-0804,PRD-003,AGT-047,AGC-008,2025-05-07,2026-05-02,Actif,14384000,1295000,Mensuelle,Oui,Mobile Money,12
CTR-00164,CLT-0644,PRD-006,AGT-009,AGC-001,2023-03-22,2024-03-16,Expiré,23753000,2613000,Semestrielle,Non,Carte bancaire,12
CTR-00165,CLT-0192,PRD-002,AGT-054,AGC-010,2023-07-18,2024-07-12,Expiré,10240000,1024000,Annuelle,Non,Virement bancaire,12
CTR-00166,CLT-0282,PRD-001,AGT-001,AGC-001,2024-10-15,2027-09-30,Actif,4534000,363000,Annuelle,Oui,Espèces,36
CTR-00167,CLT-0146,PRD-002,AGT-053,AGC-010,2023-03-21,2024-03-15,Expiré,16254000,1625000,Trimestrielle,Oui,Espèces,12
CTR-00168,CLT-0076,PRD-004,AGT-036,AGC-006,2024-12-04,2025-11-29,Résilié,7795000,546000,Trimestrielle,Non,Espèces,12
CTR-00169,CLT-0306,PRD-001,AGT-001,AGC-001,2023-05-01,2026-04-15,Actif,4978000,398000,Semestrielle,Non,Mobile Money,36
CTR-00170,CLT-0163,PRD-004,AGT-011,AGC-002,2023-07-17,2025-07-06,Expiré,5626000,394000,Mensuelle,Non,Mobile Money,24
CTR-00171,CLT-0921,PRD-002,AGT-013,AGC-002,2023-03-27,2025-03-16,Résilié,10090000,1009000,Trimestrielle,Non,Chèque,24
CTR-00172,CLT-0357,PRD-006,AGT-038,AGC-006,2025-02-02,2027-01-23,Actif,13721000,1509000,Annuelle,Non,Mobile Money,24
CTR-00173,CLT-0203,PRD-005,AGT-054,AGC-010,2024-02-07,2025-02-01,Expiré,2426000,146000,Mensuelle,Oui,Virement bancaire,12
CTR-00174,CLT-0444,PRD-007,AGT-023,AGC-003,2023-10-06,2025-09-25,Expiré,40365000,4844000,Semestrielle,Oui,Mobile Money,24
CTR-00175,CLT-0648,PRD-007,AGT-018,AGC-003,2024-06-07,2025-06-02,Expiré,40194000,4823000,Annuelle,Non,Mobile Money,12
CTR-00176,CLT-0408,PRD-001,AGT-006,AGC-001,2024-03-15,2026-03-05,Actif,4417000,353000,Semestrielle,Oui,Mobile Money,24
CTR-00177,CLT-0799,PRD-002,AGT-001,AGC-001,2025-01-04,2025-12-30,Expiré,12516000,1252000,Semestrielle,Non,Mobile Money,12
CTR-00178,CLT-0617,PRD-002,AGT-014,AGC-002,2025-01-03,2026-12-24,Actif,11067000,1107000,Mensuelle,Non,Carte bancaire,24
CTR-00179,CLT-0432,PRD-005,AGT-024,AGC-003,2023-11-24,2024-11-18,Expiré,1387000,83000,Mensuelle,Oui,Espèces,12
